"Frequency Hz","Response db"
55945.0,-57.643023
56944.0,-58.032584
57943.0,-58.326001
58942.0,-58.580988
59941.0,-58.870047
60940.0,-59.097108
61939.0,-59.306353
62938.0,-59.534466
63937.0,-59.778785
64936.0,-60.047697
65935.0,-60.40198
66934.0,-60.632954
67933.0,-60.985649
68932.0,-61.411406
69931.0,-61.805683
70930.0,-62.314157
71929.0,-62.742842
72928.0,-63.120126
73927.0,-63.582061
74926.0,-64.166481
75925.0,-64.661875
76924.0,-65.073619
77923.0,-65.568877
78922.0,-66.082908
79921.0,-66.43259
80920.0,-66.950287
81919.0,-67.222254
82918.0,-67.938335
83917.0,-68.290777
84916.0,-68.59959
85915.0,-69.012015
86914.0,-69.548265
87913.0,-69.813763
88912.0,-70.338331
89911.0,-70.57239
90910.0,-70.93008
91909.0,-71.172747
92908.0,-71.737563
93907.0,-71.999286
94906.0,-72.154593
95905.0,-72.647478
96904.0,-72.785761
97903.0,-73.063908
98902.0,-73.465582
99901.0,-73.623731
100900.0,-74.2127
101899.0,-74.522884
102898.0,-74.522923
103897.0,-74.844589
104896.0,-75.345348
105895.0,-75.345387
106894.0,-75.699412
107893.0,-76.068451
108892.0,-76.06849
109891.0,-76.827688
110890.0,-76.857042
111889.0,-77.279783
112888.0,-77.073528
113887.0,-77.507603
114886.0,-77.724026
115885.0,-77.723987
116884.0,-77.723949
117883.0,-78.446692
118882.0,-78.957293
119881.0,-78.957255
120880.0,-78.701903
121879.0,-78.957178
122878.0,-79.228405
123877.0,-79.499615
124876.0,-79.211397
125875.0,-79.769605
126874.0,-79.769567
127873.0,-80.037023
128872.0,-80.365912
129871.0,-81.006047
130870.0,-80.697869
131869.0,-81.00597
132868.0,-81.696741
133867.0,-82.02316
134866.0,-82.446746
135865.0,-81.607688
136864.0,-82.088108
137863.0,-82.876606
138862.0,-82.446592
139861.0,-82.446554
140860.0,-83.2669
141859.0,-83.74359
142858.0,-82.876414
143857.0,-83.743513
144856.0,-83.743474
145855.0,-83.743436
146854.0,-84.706503
147853.0,-84.706465
148852.0,-85.248007
149851.0,-85.247969
150850.0,-84.22488
151849.0,-85.247892
152848.0,-85.18052
153847.0,-85.78913
154846.0,-85.247777
155845.0,-85.789054
156844.0,-85.789015
157843.0,-87.025572
158842.0,-86.319723
159841.0,-86.407424
160840.0,-87.025457
161839.0,-87.025419
162838.0,-87.02538
163837.0,-87.025342
164836.0,-87.627176
165835.0,-87.746129
166834.0,-88.466118
167833.0,-87.62706
168832.0,-88.466041
169831.0,-88.190167
170830.0,-89.159229
171829.0,-88.190091
172828.0,-89.159152
173827.0,-89.787022
174826.0,-90.19127
175825.0,-89.159037
176824.0,-89.158999
177823.0,-89.786869
178822.0,-89.78683
179821.0,-89.786792
180820.0,-89.786754
181819.0,-89.786715
182818.0,-89.786677
183817.0,-89.786639
184816.0,-89.7866
185815.0,-92.168954
186814.0,-89.786523
187813.0,-91.69463
188812.0,-90.297972
189811.0,-90.297934
190810.0,-92.168762
191809.0,-91.694477
192808.0,-92.168685
193807.0,-90.636363
194806.0,-92.168608
195805.0,-92.16857
196804.0,-90.297665
197803.0,-92.338827
198802.0,-90.636171
199801.0,-92.33875
200800.0,-92.168378
201799.0,-92.338673
202798.0,-92.338635
203797.0,-90.754971
204796.0,-92.338558
205795.0,-92.33852
206794.0,-92.338481
207793.0,-92.338443
208792.0,-92.168071
209791.0,-92.168033
210790.0,-92.168003
211789.0,-92.167977
212788.0,-92.167952
213787.0,-90.754636
214786.0,-94.013147
215785.0,-92.167877
216784.0,-92.167852
217783.0,-94.013072
218782.0,-92.167802
219781.0,-94.013022
220780.0,-94.276286
221779.0,-94.012972
222778.0,-93.307136
223777.0,-91.693431
224776.0,-94.012897
225775.0,-92.167627
226774.0,-93.307036
227773.0,-93.307011
228772.0,-91.693306
229771.0,-91.693281
230770.0,-91.693256
231769.0,-93.306911
232768.0,-94.012696
233767.0,-93.306861
234766.0,-93.306836
235765.0,-93.306811
236764.0,-93.764361
237763.0,-93.764335
238762.0,-91.693056
239761.0,-93.306711
240760.0,-91.693006
241759.0,-93.306661
242758.0,-92.337535
243757.0,-91.002121
244756.0,-91.692905
245755.0,-92.33746
246754.0,-92.337435
247753.0,-92.33741
248752.0,-93.306485
249751.0,-92.33736
250750.0,-93.306435
251749.0,-91.001921
252748.0,-92.337285
253747.0,-92.33726
254746.0,-91.265136
255745.0,-92.33721
256744.0,-92.337185
257743.0,-91.69258
258742.0,-91.001746
259741.0,-92.33711
260740.0,-92.337085
261739.0,-92.33706
262738.0,-92.337035
263737.0,-92.33701
264736.0,-91.264885
265735.0,-91.26486
266734.0,-92.336935
267733.0,-92.33691
268732.0,-92.336885
269731.0,-91.26476
270730.0,-92.336835
271729.0,-92.33681
272728.0,-91.264685
273727.0,-90.188321
274726.0,-91.264635
